Date	Open	High	Low	Close	Volume	Date
2018/06/18 	42.80843734741211	42.80843734741211	42.80843734741211	42.80843734741211	50	2018/06/18 
2018/06/19 	42.80843734741211	42.80843734741211	42.80843734741211	42.80843734741211	0	2018/06/19 
2018/06/20 	42.49646759033203	42.49646759033203	42.49646759033203	42.49646759033203	50	2018/06/20 
2018/06/21 	42.13251495361328	42.13251495361328	42.13251495361328	42.13251495361328	197500	2018/06/21 
2018/06/22 	42.13251495361328	42.13251495361328	42.13251495361328	42.13251495361328	0	2018/06/22 
2018/06/25 	42.02852249145508	42.02852249145508	42.02852249145508	42.02852249145508	100	2018/06/25 
2018/06/26 	42.02852249145508	42.02852249145508	42.02852249145508	42.02852249145508	0	2018/06/26 
2018/06/27 	42.02852249145508	42.02852249145508	42.02852249145508	42.02852249145508	0	2018/06/27 
2018/06/28 	42.02852249145508	42.02852249145508	42.02852249145508	42.02852249145508	0	2018/06/28 
2018/06/29 	42.02852249145508	42.02852249145508	42.02852249145508	42.02852249145508	0	2018/06/29 
2018/07/02 	42.02852249145508	42.02852249145508	42.02852249145508	42.02852249145508	50	2018/07/02 
2018/07/03 	42.02852249145508	42.02852249145508	42.02852249145508	42.02852249145508	0	2018/07/03 
2018/07/05 	42.02852249145508	42.02852249145508	42.02852249145508	42.02852249145508	0	2018/07/05 
2018/07/06 	42.02852249145508	42.02852249145508	42.02852249145508	42.02852249145508	0	2018/07/06 
2018/07/09 	42.02852249145508	42.02852249145508	42.02852249145508	42.02852249145508	50	2018/07/09 
2018/07/10 	41.57790690044147	41.595238646560645	41.543243408203125	41.543243408203125	280350	2018/07/10 
2018/07/11 	41.12729442853125	41.300608596715314	40.849993081713876	40.86732482910156	4472850	2018/07/11 
2018/07/12 	40.86732000753714	41.05796590061631	40.81532477150852	41.04063415527344	11569200	2018/07/12 
2018/07/13 	41.3006079043551	41.47392206963373	41.22261669526434	41.43925857543945	903250	2018/07/13 
2018/07/16 	41.49125075852104	41.56924196186326	41.23128118261113	41.35260009765625	2775300	2018/07/16 
2018/07/17 	41.62990951538086	41.756428309345935	41.49125882755192	41.62990951538086	972100	2018/07/17 
2018/07/18 	41.64723602139297	41.8378786270986	41.64723602139297	41.6818962097168	2890700	2018/07/18 
2018/07/19 	41.48258460992938	41.71655822772366	41.45658864318312	41.57790756225586	7453800	2018/07/19 
2018/07/20 	41.456588541842166	41.82054529817071	41.456588541842166	41.69922637939453	473450	2018/07/20 
2018/07/23 	42.04585647583008	42.04585647583008	41.92453755191568	42.04585647583008	113550	2018/07/23 
2018/07/24 	42.323156942968566	42.40981237091824	42.132511034648076	42.25382995605469	80950	2018/07/24 
2018/07/25 	42.253827273816405	42.678446777477724	42.21916708825235	42.565792083740234	720050	2018/07/25 
2018/07/26 	42.70444417161033	42.72177591781837	42.51380157470703	42.51380157470703	2549100	2018/07/26 
2018/07/27 	42.89508854225513	42.91242028784419	42.61778722421514	42.687110900878906	176900	2018/07/27 
2018/07/30 	42.687114114904674	42.687114114904674	42.305825600314584	42.375152587890625	142150	2018/07/30 
2018/07/31 	42.219171303058175	42.2365030504167	41.94186995670745	42.08052062988281	133900	2018/07/31 
2018/08/01 	42.35781885614171	42.39247904261287	42.21916819317941	42.27116012573242	581100	2018/08/01 
2018/08/02 	41.90720580482894	42.04585647583008	41.889874057742205	42.04585647583008	176100	2018/08/02 
2018/08/03 	41.73389163965434	42.04585647583008	41.73389163965434	42.04585647583008	159250	2018/08/03 
2018/08/06 	41.6299026996764	41.733889872099894	41.57790746061835	41.69922637939453	66400	2018/08/06 
2018/08/07 	42.167173155075474	42.167173155075474	41.959195506798594	42.02852249145508	92400	2018/08/07 
2018/08/08 	41.95919327135784	42.063183742802316	41.92453308656875	42.01118850708008	319400	2018/08/08 
2018/08/09 	41.9418672677112	41.99385920076063	41.7685531109304	41.785884857177734	493300	2018/08/09 
2018/08/10 	41.45659267354301	41.45659267354301	41.15155985758188	41.33527374267578	167750	2018/08/10 
2018/08/13 	40.98864375512257	41.09263093375588	40.86732482910156	40.86732482910156	142950	2018/08/13 
2018/08/14 	41.075305164922156	41.196624098837646	41.02330991937565	41.16196060180664	76250	2018/08/14 
2018/08/15 	40.642019092327956	40.72867452435796	40.48603667011967	40.65934753417969	118650	2018/08/15 
2018/08/16 	40.83266122585821	40.988643646240234	40.77373394603517	40.988643646240234	213400	2018/08/16 
2018/08/17 	40.88465175288001	41.127289576295375	40.86732000753714	41.04063415527344	181050	2018/08/17 
2018/08/20 	41.248612877030475	41.248612877030475	41.07530201654558	41.19662094116211	67550	2018/08/20 
2018/08/21 	41.127290958163854	41.26594161987305	41.05796728015552	41.26594161987305	112650	2018/08/21 
2018/08/22 	41.354332280530464	41.45658726688171	41.31793660601693	41.35260009765625	91750	2018/08/22 
2018/08/23 	41.04063852217149	41.231284435536196	41.04063852217149	41.19662094116211	113300	2018/08/23 
2018/08/24 	41.16195891188441	41.352604832034864	41.16195891188441	41.30060958862305	61600	2018/08/24 
2018/08/27 	41.69922668335547	41.94186782836914	41.69922668335547	41.94186782836914	75150	2018/08/27 
2018/08/28 	41.82055124678749	41.90720999087738	41.76855930602663	41.83788299560547	110050	2018/08/28 
2018/08/29 	41.80322333874505	41.993865966796875	41.80322333874505	41.993865966796875	84050	2018/08/29 
2018/08/30 	41.66456461767185	41.785883531862794	41.560574143486065	41.716556549072266	101400	2018/08/30 
2018/08/31 	41.87254186321648	41.87254186321648	41.61257227107892	41.7685546875	71500	2018/08/31 
2018/09/04 	41.300607351113015	41.300607351113015	41.1151612959198	41.28327560424805	109050	2018/09/04 
2018/09/05 	40.78066691122453	40.936649322509766	40.70614007143252	40.936649322509766	139800	2018/09/05 
2018/09/06 	40.74600118999792	40.93664708351769	40.659342463083284	40.919315338134766	562200	2018/09/06 
2018/09/07 	40.83266236514133	40.83266236514133	40.59002450697396	40.69401168823242	171050	2018/09/07 
2018/09/10 	40.763330792149425	40.867317953287184	40.67667206979108	40.780662536621094	96400	2018/09/10 
2018/09/11 	40.642016498848825	40.90198608404231	40.642016498848825	40.84999084472656	83150	2018/09/11 
2018/09/12 	40.76333688588438	40.9539794921875	40.71134164469657	40.9539794921875	95150	2018/09/12 
2018/09/13 	41.40459452661014	41.42192627347511	41.184488283379686	41.28327560424805	73950	2018/09/13 
2018/09/14 	41.61257553100586	41.75122621138729	41.577912034487255	41.61257553100586	97000	2018/09/14 
2018/09/17 	41.855212469988295	41.92453946149294	41.66456985473633	41.66456985473633	66950	2018/09/17 
2018/09/18 	42.392482280308926	42.843097795775	42.392482280308926	42.721778869628906	91400	2018/09/18 
2018/09/19 	42.8604307511909	42.94708949066114	42.79110706530761	42.91242599487305	470600	2018/09/19 
2018/09/20 	42.92975605688829	43.06840672890287	42.89509256246144	43.05107498168945	64800	2018/09/20 
2018/09/21 	42.860435741738215	43.13773712894538	42.860435741738215	43.10307693481445	61350	2018/09/21 
2018/09/24 	42.895094246979	42.9644212385552	42.84309900329685	42.91242599487305	113350	2018/09/24 
2018/09/25 	43.31104197122402	43.36303720973422	43.2070547998962	43.24171829223633	70500	2018/09/25 
2018/09/26 	43.34570983437181	43.62301118966968	43.34570983437181	43.397705078125	116800	2018/09/26 
2018/09/27 	43.051075423146834	43.48435919084703	43.051075423146834	43.32837677001953	133250	2018/09/27 
2018/09/28 	43.0857358823983	43.328373717394086	43.0857358823983	43.24171829223633	68950	2018/09/28 
2018/10/01 	43.32837812288502	43.65767472221296	43.32837812288502	43.55368423461914	97700	2018/10/01 
2018/10/02 	43.15506406122992	43.484360661412296	43.15506406122992	43.43236541748047	79700	2018/10/02 
2018/10/03 	43.016408589307524	43.17239099802722	42.981745097215914	42.99907684326172	250600	2018/10/03 
2018/10/04 	42.61779349322766	42.61779349322766	42.21917320312029	42.46181106567383	97000	2018/10/04 
2018/10/05 	42.531133320915075	42.63512049247074	42.25382868727899	42.51380157470703	76250	2018/10/05 
2018/10/08 	42.461810690464056	42.6697883605957	42.27116476831779	42.6697883605957	85350	2018/10/08 
2018/10/09 	41.99386611319128	42.46181342181849	41.99386611319128	42.357826232910156	783750	2018/10/09 
2018/10/10 	42.167177144662716	42.26076792166541	41.30060958862305	41.30060958862305	1645350	2018/10/10 
2018/10/11 	41.08396708478954	41.300608970557406	40.36471774300052	40.65934753417969	314750	2018/10/11 
2018/10/12 	40.59002293352932	40.79800059367701	40.191402666080066	40.711341857910156	120900	2018/10/12 
2018/10/15 	40.55535664830439	40.79799778606087	40.36471405412238	40.53802490234375	181900	2018/10/15 
2018/10/16 	40.91932704690295	41.40460283371335	40.91932704690295	41.31794738769531	2110250	2018/10/16 
