Date	Open	High	Low	Close	Volume	Date
2017/06/19 	22.94144058227539	22.99683189663174	22.94144058227539	22.94144058227539	2900	2017/06/19 
2017/06/20 	22.572160720825195	22.572160720825195	22.572160720825195	22.572160720825195	700	2017/06/20 
2017/06/21 	22.68295162662185	22.68295162662185	22.562936782836914	22.562936782836914	700	2017/06/21 
2017/06/22 	22.51215436885424	22.724489212036133	22.51215436885424	22.724489212036133	400	2017/06/22 
2017/06/23 	23.015293161511373	23.07991664638398	23.015293161511373	23.05683708190918	5200	2017/06/23 
2017/06/26 	23.12607908751789	23.292254792909286	23.12607908751789	23.246095657348633	3300	2017/06/26 
2017/06/27 	23.393810763310476	23.393810763310476	23.273794174194336	23.273794174194336	300	2017/06/27 
2017/06/28 	23.52305731339871	23.64861179983889	23.52305731339871	23.58768081665039	6500	2017/06/28 
2017/06/29 	23.366111143202705	23.375343322753906	23.366111143202705	23.375343322753906	500	2017/06/29 
2017/06/30 	23.513822082359617	23.633838653564453	23.513822082359617	23.633838653564453	2700	2017/06/30 
2017/07/03 	23.633838653564453	23.633838653564453	23.633838653564453	23.633838653564453	0	2017/07/03 
2017/07/05 	23.63383476297912	23.63383476297912	23.606138229370117	23.606138229370117	2200	2017/07/05 
2017/07/06 	23.264556884765625	23.264556884765625	23.264556884765625	23.264556884765625	1000	2017/07/06 
2017/07/07 	23.29225730895996	23.29225730895996	23.29225730895996	23.29225730895996	300	2017/07/07 
2017/07/10 	23.347649104900736	23.347649104900736	23.1722412109375	23.1722412109375	2100	2017/07/10 
2017/07/11 	22.987600326538086	22.987600326538086	22.987600326538086	22.987600326538086	500	2017/07/11 
2017/07/12 	23.412270746709535	23.439965522973957	23.246095045690602	23.255327224731445	7500	2017/07/12 
2017/07/13 	23.495356720116582	23.495356720116582	23.47319984436035	23.47319984436035	300	2017/07/13 
2017/07/14 	23.47319984436035	23.47319984436035	23.47319984436035	23.47319984436035	0	2017/07/14 
2017/07/17 	23.753847722412104	23.753847722412104	23.689224243164062	23.689224243164062	800	2017/07/17 
2017/07/18 	23.67999257324459	23.67999257324459	23.486122131347656	23.486122131347656	800	2017/07/18 
2017/07/19 	23.8369408372676	23.86463737487793	23.8369408372676	23.86463737487793	2400	2017/07/19 
2017/07/20 	23.910791397094727	23.910791397094727	23.910791397094727	23.910791397094727	300	2017/07/20 
2017/07/21 	23.726160049438477	23.726160049438477	23.726160049438477	23.726160049438477	200	2017/07/21 
2017/07/24 	23.495354308703384	23.495354308703384	23.486122131347656	23.486122131347656	14200	2017/07/24 
2017/07/25 	23.781545639038086	23.781545639038086	23.781545639038086	23.781545639038086	200	2017/07/25 
2017/07/26 	23.781545639038086	23.781545639038086	23.781545639038086	23.781545639038086	100	2017/07/26 
2017/07/27 	23.449194896895673	23.51658821105957	23.449194896895673	23.51658821105957	700	2017/07/27 
2017/07/28 	23.51658821105957	23.51658821105957	23.51658821105957	23.51658821105957	100	2017/07/28 
2017/07/31 	23.07991600036621	23.07991600036621	23.07991600036621	23.07991600036621	300	2017/07/31 
2017/08/01 	22.98759682610299	23.264556884765625	22.886046389365482	23.264556884765625	17400	2017/08/01 
2017/08/02 	22.84911585222633	22.84911585222633	22.715251922607422	22.715251922607422	1000	2017/08/02 
2017/08/03 	22.627553661973312	22.627553661973312	22.335823488772874	22.35059356689453	2400	2017/08/03 
2017/08/04 	22.609088969845512	22.646017686321027	22.553697655990362	22.63678550720215	2800	2017/08/04 
2017/08/07 	22.64601891129132	22.701410228142702	22.57216323520341	22.618322372436523	500	2017/08/07 
2017/08/08 	22.673709785310795	22.83065329008223	22.52599845856802	22.53523063659668	1600	2017/08/08 
2017/08/09 	22.165953291643046	22.230576779819295	22.04593673286602	22.101329803466797	1800	2017/08/09 
2017/08/10 	21.925926813639705	21.925926813639705	21.764368057250977	21.764368057250977	2200	2017/08/10 
2017/08/11 	21.25198965412137	21.69512367248535	21.25198965412137	21.69512367248535	1900	2017/08/11 
2017/08/14 	21.713586807250977	21.713586807250977	21.713586807250977	21.713586807250977	300	2017/08/14 
