Date	Open	High	Low	Close	Volume	Date
2022/03/10 	20.24062156677246	20.24062156677246	20.24062156677246	20.24062156677246	100	2022/03/10 
2022/03/11 	20.13507308067422	20.13507308067422	20.053884506225586	20.053884506225586	1100	2022/03/11 
2022/03/14 	19.92398672524053	19.92398672524053	19.810319900512695	19.810319900512695	1200	2022/03/14 
2022/03/15 	19.82656113329865	19.956464767456055	19.82656113329865	19.956464767456055	200	2022/03/15 
2022/03/16 	20.118836981253416	20.20002555847168	20.0457660228987	20.20002555847168	4300	2022/03/16 
2022/03/17 	20.264973937948422	20.362402382211048	20.25685632045141	20.289331436157227	3700	2022/03/17 
2022/03/18 	20.33804827470792	20.41111923294394	20.33804827470792	20.36240577697754	1700	2022/03/18 
2022/03/21 	20.427354794371823	20.427354794371823	20.260915756225586	20.260915756225586	700	2022/03/21 
2022/03/22 	20.216261115747123	20.260915756225586	20.216261115747123	20.260915756225586	400	2022/03/22 
2022/03/23 	20.27309799194336	20.27309799194336	20.27309799194336	20.27309799194336	0	2022/03/23 
2022/03/24 	20.224388122558594	20.224388122558594	20.224388122558594	20.224388122558594	200	2022/03/24 
2022/03/25 	20.151309967041016	20.151309967041016	20.151309967041016	20.151309967041016	0	2022/03/25 
2022/03/28 	20.15943145751953	20.15943145751953	20.15943145751953	20.15943145751953	0	2022/03/28 
2022/03/29 	20.394878624695643	20.443592071533203	20.394878624695643	20.443592071533203	2000	2022/03/29 
2022/03/30 	20.41923545002037	20.41923545002037	20.41111628377029	20.416799545288086	3000	2022/03/30 
2022/03/31 	20.435479675377845	20.435479675377845	20.423301696777344	20.423301696777344	300	2022/03/31 
2022/04/01 	20.36240533253962	20.36240533253962	20.35022735595703	20.35022735595703	200	2022/04/01 
2022/04/04 	20.354286422411175	20.49230917019099	20.354286422411175	20.402999877929688	300	2022/04/04 
2022/04/05 	20.338046582402455	20.338046582402455	20.325868606567383	20.325868606567383	200	2022/04/05 
2022/04/06 	20.094480514526367	20.094480514526367	20.094480514526367	20.094480514526367	0	2022/04/06 
2022/04/07 	20.094480514526367	20.094480514526367	20.094480514526367	20.094480514526367	0	2022/04/07 
2022/04/08 	19.915864944458008	19.915864944458008	19.915864944458008	19.915864944458008	100	2022/04/08 
2022/04/11 	19.777842896422875	19.777842896422875	19.729127883911133	19.729127883911133	1000	2022/04/11 
2022/04/12 	19.806251525878906	19.806251525878906	19.806251525878906	19.806251525878906	0	2022/04/12 
2022/04/13 	19.887451171875	19.887451171875	19.887451171875	19.887451171875	100	2022/04/13 
2022/04/14 	19.883390426635742	19.883390426635742	19.883390426635742	19.883390426635742	0	2022/04/14 
2022/04/18 	19.818437576293945	19.818437576293945	19.818437576293945	19.818437576293945	100	2022/04/18 
2022/04/19 	19.76972007751465	19.76972007751465	19.76972007751465	19.76972007751465	100	2022/04/19 
2022/04/20 	19.859025955200195	19.859025955200195	19.859025955200195	19.859025955200195	100	2022/04/20 
2022/04/21 	19.729127883911133	19.729127883911133	19.729127883911133	19.729127883911133	0	2022/04/21 
2022/04/22 	19.631698608398438	19.631698608398438	19.631698608398438	19.631698608398438	100	2022/04/22 
2022/04/25 	19.59922469617843	19.68041483684468	19.59922469617843	19.65199851989746	6100	2022/04/25 
2022/04/26 	19.63575553894043	19.63575553894043	19.63575553894043	19.63575553894043	0	2022/04/26 
2022/04/27 	19.60734389657433	19.60734389657433	19.57080841064453	19.57080841064453	100	2022/04/27 
2022/04/28 	19.530216217041016	19.530216217041016	19.530216217041016	19.530216217041016	100	2022/04/28 
2022/04/29 	19.412480681243316	19.412480681243316	19.35970687866211	19.35970687866211	2000	2022/04/29 
2022/05/02 	19.25826644897461	19.25826644897461	19.25826644897461	19.25826644897461	100	2022/05/02 
2022/05/03 	19.39734649658203	19.39734649658203	19.39734649658203	19.39734649658203	0	2022/05/03 
2022/05/04 	19.47097394122231	19.60187112439153	19.47097394122231	19.5650577545166	3100	2022/05/04 
2022/05/05 	19.217363357543945	19.217363357543945	19.217363357543945	19.217363357543945	0	2022/05/05 
2022/05/06 	19.19281430281723	19.19281430281723	19.143728256225586	19.143728256225586	2000	2022/05/06 
2022/05/09 	18.98011408615554	19.000566482543945	18.98011408615554	19.000566482543945	1000	2022/05/09 
2022/05/10 	19.00465180756257	19.00465180756257	18.963747024536133	18.963747024536133	300	2022/05/10 
2022/05/11 	18.931028966567435	18.947391510009766	18.931028966567435	18.947391510009766	2000	2022/05/11 
2022/05/12 	18.849211389106685	18.849211389106685	18.84103012084961	18.84103012084961	1000	2022/05/12 
2022/05/13 	18.88193260288142	18.88193260288142	18.865570068359375	18.865570068359375	2000	2022/05/13 
2022/05/16 	18.9391999132914	18.9391999132914	18.865570068359375	18.865570068359375	600	2022/05/16 
2022/05/17 	18.83285140991211	18.83285140991211	18.83285140991211	18.83285140991211	100	2022/05/17 
2022/05/18 	18.677410125732422	18.677410125732422	18.677410125732422	18.677410125732422	100	2022/05/18 
2022/05/19 	18.701950073242188	18.701950073242188	18.701950073242188	18.701950073242188	800	2022/05/19 
2022/05/20 	18.742856979370117	18.742856979370117	18.742856979370117	18.742856979370117	0	2022/05/20 
2022/05/23 	18.783763885498047	18.783763885498047	18.783763885498047	18.783763885498047	0	2022/05/23 
2022/05/24 	18.832845726356155	18.92283654141084	18.80830192565918	18.80830192565918	1100	2022/05/24 
2022/05/25 	18.91466066922557	19.127367410049885	18.91466066922557	19.102825164794922	13100	2022/05/25 
2022/05/26 	19.307359988502242	19.569154446312215	19.307359988502242	19.438257217407227	12600	2022/05/26 
2022/05/27 	19.618233288956045	19.65913963317871	19.618233288956045	19.65913963317871	4000	2022/05/27 
2022/05/31 	19.61823385990097	19.61823385990097	19.536422729492188	19.536422729492188	900	2022/05/31 
2022/06/01 	19.615343868228383	19.615343868228383	19.549575805664062	19.549575805664062	500	2022/06/01 
2022/06/02 	19.516691207885742	19.516691207885742	19.516691207885742	19.516691207885742	0	2022/06/02 
2022/06/03 	19.500248512038407	19.500248512038407	19.467365264892578	19.467365264892578	100	2022/06/03 
2022/06/06 	19.45338901394833	19.45338901394833	19.33582878112793	19.33582878112793	200	2022/06/06 
2022/06/07 	19.257726669311523	19.257726669311523	19.257726669311523	19.257726669311523	100	2022/06/07 
2022/06/08 	19.200176239013672	19.200176239013672	19.200176239013672	19.200176239013672	100	2022/06/08 
2022/06/09 	19.122081997873558	19.122081997873558	19.03987153031267	19.06453514099121	1300	2022/06/09 
2022/06/10 	18.842573102025465	18.842573102025465	18.62882644831945	18.65349006652832	7100	2022/06/10 
2022/06/13 	18.341092988060083	18.341092988060083	18.036916162527614	18.069799423217773	18100	2022/06/13 
2022/06/14 	18.234217135060614	18.234217135060614	18.049243927001953	18.049243927001953	3000	2022/06/14 
2022/06/15 	18.31642513807468	18.4561824798584	18.31642513807468	18.4561824798584	7700	2022/06/15 
2022/06/16 	18.143783508730554	18.168447123190727	18.028689777318704	18.061573028564453	30200	2022/06/16 
2022/06/17 	18.2259902836153	18.26380656367206	18.2259902836153	18.23832130432129	1100	2022/06/17 
2022/06/21 	18.2547664642334	18.2547664642334	18.2547664642334	18.2547664642334	0	2022/06/21 
2022/06/22 	18.135563738351355	18.152006149291992	18.135563738351355	18.152006149291992	200	2022/06/22 
2022/06/23 	18.2424373626709	18.2424373626709	18.2424373626709	18.2424373626709	100	2022/06/23 
2022/06/24 	18.316425605777034	18.365751266479492	18.316425605777034	18.365751266479492	4000	2022/06/24 
2022/06/27 	18.34931182861328	18.34931182861328	18.34931182861328	18.34931182861328	100	2022/06/27 
2022/06/28 	18.2835390199643	18.2835390199643	18.11911964416504	18.11911964416504	7000	2022/06/28 
2022/06/29 	18.036905797031785	18.069789038824517	18.036905797031785	18.053346633911133	10100	2022/06/29 
2022/06/30 	17.95058883440378	18.01224708557129	17.95058883440378	18.01224708557129	300	2022/06/30 
2022/07/01 	18.053576763572764	18.144506454467773	18.053576763572764	18.144506454467773	5000	2022/07/01 
2022/07/05 	18.111448922132606	18.111448922132606	18.003987800428288	18.037052154541016	1600	2022/07/05 
2022/07/06 	18.11144279709792	18.136242236798413	18.09490983729759	18.12714958190918	10200	2022/07/06 
2022/07/07 	18.20237440094923	18.31810197830206	18.20237440094923	18.293302536010742	11100	2022/07/07 
2022/07/08 	18.30983105033288	18.41729369749073	18.30983105033288	18.375961303710938	24700	2022/07/08 
2022/07/11 	18.392498537255314	18.392498537255314	18.3429012298584	18.3429012298584	1300	2022/07/11 
2022/07/12 	18.35942500657674	18.35942500657674	18.334627151489258	18.334627151489258	700	2022/07/12 
2022/07/13 	18.384232024817173	18.400764986144242	18.351167678833008	18.351167678833008	2100	2022/07/13 
2022/07/14 	18.185837557588414	18.318098068237305	18.185837557588414	18.318098068237305	5000	2022/07/14 
2022/07/15 	18.384228487007757	18.53302195697803	18.384228487007757	18.524755477905273	9500	2022/07/15 
2022/07/18 	18.64461959478222	18.64461959478222	18.450361251831055	18.450361251831055	1600	2022/07/18 
2022/07/19 	18.582625715345714	18.665288958143044	18.582625715345714	18.65702247619629	3300	2022/07/19 
2022/07/20 	18.80581461358742	18.880211368961593	18.80581461358742	18.83888053894043	2100	2022/07/20 
2022/07/21 	18.76448073066453	19.00420234379176	18.76448073066453	18.97113800048828	9100	2022/07/21 
2022/07/22 	19.078600513582742	19.078600513582742	19.012470245361328	19.012470245361328	3200	2022/07/22 
2022/07/25 	18.962869674378986	18.962869674378986	18.95460319519043	18.95460319519043	1000	2022/07/25 
2022/07/26 	18.971136667321012	18.971136667321012	18.905006408691406	18.905006408691406	400	2022/07/26 
2022/07/27 	18.99593909264164	19.04553798103222	18.99593909264164	19.03727149963379	4100	2022/07/27 
2022/07/28 	19.11166646530767	19.243927001953125	19.11166646530767	19.243927001953125	7200	2022/07/28 
2022/07/29 	19.326589584350586	19.326589584350586	19.326589584350586	19.326589584350586	1100	2022/07/29 
2022/08/01 	19.318281173706055	19.318281173706055	19.318281173706055	19.318281173706055	500	2022/08/01 
2022/08/02 	19.318281173706055	19.318281173706055	19.318281173706055	19.318281173706055	0	2022/08/02 
2022/08/03 	19.430448532104492	19.430448532104492	19.430448532104492	19.430448532104492	100	2022/08/03 
2022/08/04 	19.53431053776024	19.567545460744437	19.526831848066738	19.530155181884766	3700	2022/08/04 
2022/08/05 	19.393062876385333	19.476152579591265	19.380599975585938	19.380599975585938	1100	2022/08/05 
2022/08/08 	19.542623048030865	19.542623048030865	19.526004791259766	19.526004791259766	1000	2022/08/08 
2022/08/09 	19.426290397574913	19.426290397574913	19.35566520690918	19.35566520690918	2600	2022/08/09 
2022/08/10 	19.607427870415012	19.607427870415012	19.592472076416016	19.592472076416016	700	2022/08/10 
2022/08/11 	19.775265942480722	19.791884193906213	19.592469931211372	19.61739730834961	5200	2022/08/11 
2022/08/12 	19.634018457253266	19.742035531374665	19.592474404009064	19.663101196289062	1800	2022/08/12 
2022/08/15 	19.667252496861547	19.7087965448865	19.667252496861547	19.688024520874023	800	2022/08/15 
2022/08/16 	19.634019890273763	19.646484375	19.634019890273763	19.646484375	700	2022/08/16 
2022/08/17 	19.467838287353516	19.467838287353516	19.467838287353516	19.467838287353516	300	2022/08/17 
2022/08/18 	19.50938472137581	19.50938472137581	19.484458923339844	19.484458923339844	400	2022/08/18 
2022/08/19 	19.32658708255773	19.32658708255773	19.234357833862305	19.234357833862305	8200	2022/08/19 
2022/08/22 	19.060700451994823	19.06900957853059	19.03743553161621	19.03743553161621	6400	2022/08/22 
2022/08/23 	19.010844230666063	19.07731565303608	19.010844230666063	19.04408073425293	3500	2022/08/23 
2022/08/24 	19.077318039307457	19.085627166243516	19.060701370239258	19.060701370239258	2300	2022/08/24 
2022/08/25 	19.152100752444035	19.21691131591797	19.152100752444035	19.21691131591797	2300	2022/08/25 
2022/08/26 	18.977614499575026	18.977614499575026	18.900341033935547	18.900341033935547	1100	2022/08/26 
2022/08/29 	18.828879586104318	18.83469581604004	18.828879586104318	18.83469581604004	200	2022/08/29 
2022/08/30 	18.794818027416927	18.803125570601022	18.645256893237367	18.72003746032715	29300	2022/08/30 
2022/08/31 	18.581281661987305	18.581281661987305	18.581281661987305	18.581281661987305	200	2022/08/31 
2022/09/01 	18.459330345308313	18.61635971069336	18.459330345308313	18.61635971069336	9800	2022/09/01 
2022/09/02 	18.6932058440592	18.6932058440592	18.601327896118164	18.601327896118164	300	2022/09/02 
2022/09/06 	18.576267288517023	18.584620117948997	18.501093416768555	18.528657913208008	9400	2022/09/06 
2022/09/07 	18.592967558185595	18.78257179260254	18.592967558185595	18.78257179260254	800	2022/09/07 
2022/09/08 	18.668143397346615	18.83686637878418	18.668143397346615	18.83686637878418	900	2022/09/08 
2022/09/09 	18.91872215270996	18.91872215270996	18.91872215270996	18.91872215270996	100	2022/09/09 
