Price	Close	High	Low	Open	Volume	Date
Ticker	ITA	ITA	ITA	ITA	ITA	
Date						
2006/05/05 	21.08635902404785	21.08635902404785	21.00522612813472	21.00522612813472	4000	2006/05/05 
2006/05/08 	21.005233764648438	21.074197292864934	20.980894970262952	21.074197292864934	16800	2006/05/08 
2006/05/09 	20.984949111938477	21.02145884785258	20.964666269204358	21.02145884785258	21600	2006/05/09 
2006/05/10 	21.08231544494629	21.15127744107071	21.00929595053091	21.01335190133968	119000	2006/05/10 
2006/05/11 	20.847028732299805	21.086370049270876	20.83485933316839	21.070143152107597	22600	2006/05/11 
2006/05/12 	20.400798797607422	20.709102089750154	20.400798797607422	20.709102089750154	8600	2006/05/12 
2006/05/15 	20.348060607910156	20.35617405543805	20.218248542427627	20.303437420247683	6200	2006/05/15 
2006/05/16 	20.31560707092285	20.400795943315316	20.283153282878988	20.356172758495894	10600	2006/05/16 
2006/05/17 	19.836925506591797	20.00730325976761	19.836925506591797	20.00730325976761	71600	2006/05/17 
2006/05/18 	19.638147354125977	19.926167735991644	19.638147354125977	19.918054289638597	5000	2006/05/18 
2006/05/19 	19.73955726623535	19.836917046156106	19.601631814044985	19.63408558984564	23400	2006/05/19 
2006/05/22 	19.784189224243164	19.865322152310572	19.62598086562676	19.63409431318169	17400	2006/05/22 
2006/05/23 	19.63408851623535	19.90182601657122	19.63408851623535	19.877485681092892	11000	2006/05/23 
2006/05/24 	19.47588539123535	19.561075821125996	19.252770988387024	19.40692340475651	1050200	2006/05/24 
2006/05/25 	19.569177627563477	19.67059334557069	19.557006689115497	19.557006689115497	5800	2006/05/25 
2006/05/26 	19.682764053344727	19.70710438438804	19.642196834939202	19.70710438438804	2600	2006/05/26 
2006/05/30 	19.427204132080078	19.642205063514194	19.427204132080078	19.642205063514194	71200	2006/05/30 
2006/05/31 	19.528621673583984	19.528621673583984	19.415036499107856	19.492111932147807	7400	2006/05/31 
2006/06/01 	19.808536529541016	19.808536529541016	19.532685405640237	19.532685405640237	6200	2006/06/01 
2006/06/02 	19.796358108520508	19.90994482386236	19.727396127314606	19.90994482386236	4000	2006/06/02 
2006/06/05 	19.52456283569336	19.75579064809609	19.47182620642275	19.75579064809609	7400	2006/06/05 
2006/06/06 	19.122961044311523	19.216263385069734	19.122961044311523	19.216263385069734	11600	2006/06/06 
2006/06/07 	19.183809280395508	19.40692368648274	19.183809280395508	19.220319023026654	19200	2006/06/07 
2006/06/08 	19.139179229736328	19.139179229736328	18.701062475194224	19.106725449037757	9800	2006/06/08 
2006/06/09 	19.0661678314209	19.2406031077197	19.0661678314209	19.17569706636308	2200	2006/06/09 
2006/06/12 	18.563133239746094	18.985023018428784	18.563133239746094	18.985023018428784	68000	2006/06/12 
2006/06/13 	18.295406341552734	18.51852229856939	18.25078469763142	18.44550281217885	646000	2006/06/13 
2006/06/14 	18.534748077392578	18.534748077392578	18.33597400787182	18.33597400787182	3800	2006/06/14 
2006/06/15 	19.147294998168945	19.147294998168945	18.636158722517212	18.636158722517212	19800	2006/06/15 
2006/06/16 	19.110788345336914	19.18786377505241	19.005315075745315	19.147298085198333	37200	2006/06/16 
2006/06/19 	18.830881118774414	19.00531638260902	18.830881118774414	19.00531638260902	4400	2006/06/19 
2006/06/20 	18.765974044799805	18.895787658544137	18.733521801975144	18.82276817783628	6400	2006/06/20 
2006/06/21 	19.062116622924805	19.110795779181615	18.78220799261258	18.78220799261258	11000	2006/06/21 
2006/06/22 	18.939090728759766	18.959389550969515	18.857893891219895	18.959389550969515	6000	2006/06/22 
2006/06/23 	18.939090728759766	19.02028601759877	18.80511571451385	18.80511571451385	6800	2006/06/23 
2006/06/26 	18.88225746154785	18.88225746154785	18.79700145374735	18.85789948714846	14800	2006/06/26 
2006/06/27 	18.667078018188477	18.918786773036445	18.622419688568556	18.918786773036445	5000	2006/06/27 
2006/06/28 	18.598072052001953	18.622430028081855	18.50063550157807	18.622430028081855	4000	2006/06/28 
2006/06/29 	19.0974178314209	19.0974178314209	18.833528577824538	18.93502420633077	8600	2006/06/29 
2006/06/30 	19.15020179748535	19.15020179748535	19.121783134485938	19.121783134485938	9200	2006/06/30 
2006/07/03 	19.231399536132812	19.231399536132812	19.18268204710978	19.18268204710978	3000	2006/07/03 
2006/07/05 	19.109607696533203	19.14208705953238	19.008112010212674	19.14208705953238	57600	2006/07/05 
2006/07/06 	19.20703887939453	19.300414698919873	19.170500380562803	19.194858347316732	595600	2006/07/06 
2006/07/07 	19.02029037475586	19.223281740756246	18.98781256152043	19.142086433317065	305000	2006/07/07 
2006/07/10 	19.08119010925293	19.23140329988088	19.044651598159497	19.162386972649596	143400	2006/07/10 
2006/07/11 	19.43033218383789	19.454690154561437	19.016229645825632	19.10148564076022	67000	2006/07/11 
2006/07/12 	19.26388168334961	19.462812362400786	19.223282479368866	19.454692521604635	53000	2006/07/12 
2006/07/13 	18.959392547607422	19.174562884701217	18.91473420246695	19.17050373909804	47000	2006/07/13 
2006/07/14 	18.67926025390625	18.796995589107755	18.50468914660509	18.796995589107755	21000	2006/07/14 
2006/07/17 	18.55341148376465	18.756402853283515	18.512812280640127	18.715803650158996	37400	2006/07/17 
2006/07/18 	18.606185913085938	18.69144189936496	18.334176727580232	18.634604575178944	17400	2006/07/18 
2006/07/19 	19.146141052246094	19.146141052246094	18.65490243436316	18.65490243436316	121400	2006/07/19 
2006/07/20 	18.878190994262695	19.280114451697898	18.878190994262695	19.162379125421847	76400	2006/07/20 
2006/07/21 	18.780759811401367	18.83759869270369	18.68332482657114	18.83759869270369	20200	2006/07/21 
2006/07/24 	19.117725372314453	19.117725372314453	18.84977685271988	18.84977685271988	12000	2006/07/24 
2006/07/25 	19.531831741333008	19.584609936228187	19.14208864526414	19.14208864526414	35600	2006/07/25 
2006/07/26 	19.361318588256836	19.483114663530348	19.235464915236303	19.483114663530348	112400	2006/07/26 
2006/07/27 	19.231399536132812	19.51152858259261	19.1745622074891	19.44657141432822	61600	2006/07/27 
2006/07/28 	19.32883644104004	19.369434091236663	19.202981247508763	19.324775746799727	44400	2006/07/28 
2006/07/31 	19.2841796875	19.320718195171732	19.215163366731844	19.255761020277674	74200	2006/07/31 
2006/08/01 	19.17861557006836	19.182674713976446	19.06900010014444	19.182674713976446	26800	2006/08/01 
2006/08/02 	19.20703887939453	19.28417502195003	19.121781349653276	19.162380542077884	11600	2006/08/02 
2006/08/03 	19.231399536132812	19.267938040075347	18.999989527397094	19.1217840243052	129400	2006/08/03 
2006/08/04 	19.15020179748535	19.38973163469539	19.073065647729944	19.385672489424465	21000	2006/08/04 
2006/08/07 	19.069005966186523	19.133963129601405	18.939091639356757	19.133963129601405	13800	2006/08/07 
2006/08/08 	18.837602615356445	19.16238854692435	18.817302236313495	19.16238854692435	21000	2006/08/08 
