Date	Open	High	Low	Close	Volume	Date
2013/10/03 	39.16286436726678	39.17853927612305	39.16286436726678	39.17853927612305	8500	2013/10/03 
2013/10/04 	39.17853927612305	39.17853927612305	39.17853927612305	39.17853927612305	15900	2013/10/04 
2013/10/07 	39.19421119529614	39.19421119529614	39.16286436726678	39.17853927612305	33900	2013/10/07 
2013/10/08 	39.170684814453125	39.170684814453125	39.170684814453125	39.170684814453125	14700	2013/10/08 
2013/10/09 	39.16282653808594	39.16282653808594	39.16282653808594	39.16282653808594	1014200	2013/10/09 
2013/10/10 	39.16284885796978	39.170684814453125	39.16284885796978	39.170684814453125	10900	2013/10/10 
2013/10/11 	39.1942138671875	39.1942138671875	39.18637790706677	39.1942138671875	23600	2013/10/11 
2013/10/14 	39.19419536193862	39.19419536193862	39.18635940551758	39.18635940551758	14700	2013/10/14 
2013/10/15 	39.18635940551758	39.18635940551758	39.18635940551758	39.18635940551758	3400	2013/10/15 
2013/10/16 	39.20203430804162	39.20203430804162	39.18635940551758	39.18635940551758	4400	2013/10/16 
2013/10/17 	39.1942138671875	39.1942138671875	39.1942138671875	39.1942138671875	4500	2013/10/17 
2013/10/18 	39.19419886447578	39.2020378112793	39.186362907354486	39.2020378112793	6600	2013/10/18 
2013/10/21 	39.20987726953754	39.217716217041016	39.20204131171656	39.217716217041016	12800	2013/10/21 
2013/10/22 	39.217716217041016	39.217716217041016	39.20204131171656	39.217716217041016	6700	2013/10/22 
2013/10/23 	39.20988464355469	39.20988464355469	39.20988464355469	39.20988464355469	5600	2013/10/23 
2013/10/24 	39.217704205711776	39.22554016113281	39.217704205711776	39.22554016113281	13300	2013/10/24 
2013/10/25 	39.24120387310871	39.24120387310871	39.22552897705432	39.233367919921875	9500	2013/10/25 
2013/10/28 	39.24121856689453	39.24121856689453	39.24121856689453	39.24121856689453	206600	2013/10/28 
2013/10/29 	39.249061584472656	39.249061584472656	39.22554773430662	39.249061584472656	1900	2013/10/29 
2013/10/30 	39.24122263785659	39.249061584472656	39.233386680922685	39.249061584472656	7700	2013/10/30 
2013/10/31 	39.25689697265625	39.25689697265625	39.24906101583587	39.25689697265625	13600	2013/10/31 
2013/11/01 	39.280411080155844	39.280411080155844	39.25690021806893	39.26473617553711	9200	2013/11/01 
2013/11/04 	39.28040432686316	39.28040432686316	39.24121856689453	39.24121856689453	11400	2013/11/04 
2013/11/05 	39.25689697265625	39.25689697265625	39.24906101583587	39.25689697265625	19700	2013/11/05 
2013/11/06 	39.27257187597912	39.27257187597912	39.25689697265625	39.25689697265625	23000	2013/11/06 
2013/11/07 	39.26474024515221	39.272579193115234	39.26474024515221	39.272579193115234	166900	2013/11/07 
2013/11/08 	39.2882540993586	39.2882540993586	39.241229380628496	39.272579193115234	15300	2013/11/08 
2013/11/11 	39.280411080155844	39.280411080155844	39.24906426060074	39.26473617553711	7800	2013/11/11 
2013/11/12 	39.272575122687655	39.272575122687655	39.25690021806893	39.26473617553711	14000	2013/11/12 
2013/11/13 	39.280411080155844	39.280411080155844	39.26473617553711	39.26473617553711	40400	2013/11/13 
2013/11/14 	39.272579193115234	39.272579193115234	39.272579193115234	39.272579193115234	6800	2013/11/14 
2013/11/15 	39.272563367387086	39.280399322509766	39.25688846746026	39.280399322509766	8700	2013/11/15 
2013/11/18 	39.28038813872656	39.28822708129883	39.28038813872656	39.28822708129883	18600	2013/11/18 
2013/11/19 	39.29606303419048	39.29606303419048	39.28822708129883	39.28822708129883	38600	2013/11/19 
2013/11/20 	39.30392430469146	39.30392430469146	39.288249400322876	39.296085357666016	7800	2013/11/20 
2013/11/21 	39.29606303419048	39.29606303419048	39.28822708129883	39.28822708129883	52500	2013/11/21 
2013/11/22 	39.30393600463867	39.30393600463867	39.288261095604	39.30393600463867	28900	2013/11/22 
2013/11/25 	39.311744123998636	39.32741902193245	39.29606922606482	39.319580078125	960500	2013/11/25 
2013/11/26 	39.31175231933594	39.31175231933594	39.296077418134374	39.31175231933594	293800	2013/11/26 
2013/11/27 	39.319580078125	39.319580078125	39.311744123998636	39.319580078125	21500	2013/11/27 
2013/11/29 	39.32741902193245	39.32741902193245	39.319580078125	39.319580078125	1300	2013/11/29 
2013/12/02 	39.25291901852685	39.32350380883733	39.25291901852685	39.3156623840332	37100	2013/12/02 
2013/12/03 	39.30781796746074	39.3156623840332	39.299976542656616	39.3156623840332	34900	2013/12/03 
2013/12/04 	39.323524475097656	39.33136889579271	39.31568304617251	39.323524475097656	17900	2013/12/04 
2013/12/05 	39.323524475097656	39.323524475097656	39.30783862547745	39.323524475097656	13400	2013/12/05 
