Date	Open	High	Low	Close	Volume	Date
2020/01/14 	24.946395019200132	24.946395019200132	24.946395019200132	24.947872161865234	0	2020/01/14 
2020/01/15 	24.947872161865234	24.947872161865234	24.947872161865234	24.947872161865234	0	2020/01/15 
2020/01/16 	24.946395874023438	24.946395874023438	24.946395874023438	24.946395874023438	41	2020/01/16 
2020/01/17 	24.967084884643555	24.967084884643555	24.967084884643555	24.967084884643555	0	2020/01/17 
2020/01/21 	24.89141845703125	24.89141845703125	24.89141845703125	24.89141845703125	90	2020/01/21 
2020/01/22 	24.93634605407715	24.93634605407715	24.93634605407715	24.93634605407715	40	2020/01/22 
2020/01/23 	24.97122573852539	24.97122573852539	24.97122573852539	24.97122573852539	40	2020/01/23 
2020/01/24 	24.691890716552734	24.691890716552734	24.691890716552734	24.691890716552734	40	2020/01/24 
2020/01/27 	24.263286590576172	24.263286590576172	24.263286590576172	24.263286590576172	192	2020/01/27 
2020/01/28 	24.583410263061523	24.583410263061523	24.583410263061523	24.583410263061523	40	2020/01/28 
2020/01/29 	24.6556339263916	24.6556339263916	24.6556339263916	24.6556339263916	40	2020/01/29 
2020/01/30 	24.653167724609375	24.653167724609375	24.653167724609375	24.653167724609375	25	2020/01/30 
2020/01/31 	24.197072982788086	24.197072982788086	24.197072982788086	24.197072982788086	74	2020/01/31 
2020/02/03 	24.399751663208008	24.399751663208008	24.399751663208008	24.399751663208008	25	2020/02/03 
2020/02/04 	24.901268005371094	24.901268005371094	24.901268005371094	24.901268005371094	1	2020/02/04 
2020/02/05 	24.985214233398438	24.985214233398438	24.985214233398438	24.985214233398438	1	2020/02/05 
2020/02/06 	25.133703231811523	25.133703231811523	25.133703231811523	25.133703231811523	1	2020/02/06 
2020/02/07 	24.957726084949346	24.957726084949346	24.905208587646484	24.905208587646484	211	2020/02/07 
2020/02/10 	24.987187567299273	25.130352020263672	24.987187567299273	25.130352020263672	571	2020/02/10 
2020/02/11 	25.145723342895508	25.145723342895508	25.145723342895508	25.145723342895508	3	2020/02/11 
2020/02/12 	25.346134185791016	25.346134185791016	25.346134185791016	25.346134185791016	33	2020/02/12 
2020/02/13 	25.311742782592773	25.311742782592773	25.311742782592773	25.311742782592773	1	2020/02/13 
2020/02/14 	25.361700620679613	25.395496368408203	25.361700620679613	25.395496368408203	137	2020/02/14 
2020/02/18 	25.372142791748047	25.372142791748047	25.372142791748047	25.372142791748047	1	2020/02/18 
2020/02/19 	25.519744873046875	25.519744873046875	25.519744873046875	25.519744873046875	21	2020/02/19 
2020/02/20 	25.373815536499023	25.373815536499023	25.373815536499023	25.373815536499023	1	2020/02/20 
2020/02/21 	25.204052073232194	25.204052073232194	24.90215492248535	24.90215492248535	438	2020/02/21 
2020/02/24 	24.09578514099121	24.09578514099121	24.09578514099121	24.09578514099121	5	2020/02/24 
2020/02/25 	23.391584396362305	23.391584396362305	23.391584396362305	23.391584396362305	14	2020/02/25 
2020/02/26 	23.607858919156527	23.607858919156527	23.35788917541504	23.35788917541504	622	2020/02/26 
2020/02/27 	22.448749542236328	22.448749542236328	22.448749542236328	22.448749542236328	49	2020/02/27 
2020/02/28 	22.095421089484148	22.163209915161133	22.095421089484148	22.163209915161133	179	2020/02/28 
2020/03/02 	22.366380894576807	23.26507568359375	22.366380894576807	23.26507568359375	101	2020/03/02 
2020/03/03 	22.61901092529297	22.61901092529297	22.61901092529297	22.61901092529297	21	2020/03/03 
2020/03/04 	23.485485076904297	23.485485076904297	23.485485076904297	23.485485076904297	1	2020/03/04 
2020/03/05 	22.80552864074707	22.80552864074707	22.80552864074707	22.80552864074707	21	2020/03/05 
2020/03/06 	22.444116592407227	22.444116592407227	22.444116592407227	22.444116592407227	21	2020/03/06 
2020/03/09 	21.16431035631454	21.16431035631454	20.91699981689453	20.91699981689453	105	2020/03/09 
2020/03/10 	21.777761459350586	21.777761459350586	21.777761459350586	21.777761459350586	92	2020/03/10 
2020/03/11 	21.203719413280712	21.22046975846743	20.884382247924805	20.884382247924805	362	2020/03/11 
2020/03/12 	19.213408362178857	19.213408362178857	19.010534286499023	19.010534286499023	156	2020/03/12 
2020/03/13 	19.2232631878537	20.2962589263916	19.185426909363493	20.2962589263916	404	2020/03/13 
2020/03/16 	18.543401053819117	18.75031564872811	18.304367065429688	18.304367065429688	372	2020/03/16 
2020/03/17 	19.07792854309082	19.07792854309082	19.07792854309082	19.07792854309082	4	2020/03/17 
