Price	Close	High	Low	Open	Volume	Date
Ticker	TGLR	TGLR	TGLR	TGLR	TGLR	
Date						
2023/08/08 	23.932296752929688	26.16401886662218	23.624944324563337	23.74631928780116	97600	2023/08/08 
2023/08/09 	23.78546714782715	25.449471821395555	23.735548314493585	24.421705436931738	61800	2023/08/09 
2023/08/10 	23.795255661010742	23.981233093464557	23.677797605643587	23.746315115768116	48900	2023/08/10 
2023/08/11 	23.716951370239258	25.958463602077817	23.58970482330066	25.958463602077817	25100	2023/08/11 
2023/08/14 	23.795255661010742	23.795255661010742	23.67486087421509	23.736526633327163	13400	2023/08/14 
2023/08/15 	23.53586769104004	23.83440987467768	23.452666522781968	23.83440987467768	18200	2023/08/15 
2023/08/16 	23.39295768737793	23.638642422645475	23.370443992261123	23.638642422645475	26500	2023/08/16 
2023/08/17 	23.30486297607422	23.50356374284644	23.286266167488122	23.474200164346076	8700	2023/08/17 
2023/08/18 	23.334228515625	23.452664852121504	23.168806346022038	23.23732385208184	20900	2023/08/18 
2023/08/21 	23.368488311767578	23.54076037270431	23.149230415627056	23.54076037270431	13800	2023/08/21 
2023/08/22 	23.27647590637207	23.354781887990537	23.207956538864277	23.335204925845453	11400	2023/08/22 
2023/08/23 	23.374357223510742	23.452663205934357	23.2275337398367	23.25004743323122	18100	2023/08/23 
2023/08/24 	23.031766891479492	23.589697181165235	23.031766891479492	23.589697181165235	12000	2023/08/24 
2023/08/25 	23.230472564697266	23.325418786976815	23.0317717931617	23.100289300587754	4000	2023/08/25 
2023/08/28 	23.349010467529297	23.49203947831105	23.25692337299324	23.49203947831105	6300	2023/08/28 
2023/08/29 	23.707563400268555	23.707563400268555	23.443057087511054	23.443057087511054	1600	2023/08/29 
2023/08/30 	23.70854377746582	23.893697085145252	23.61939588858313	23.893697085145252	5300	2023/08/30 
2023/08/31 	23.678173065185547	23.9328826389141	23.678173065185547	23.9328826389141	7000	2023/08/31 
2023/09/01 	23.734994888305664	23.771240764561295	23.687971291963297	23.717359638274697	1900	2023/09/01 
2023/09/05 	23.62919044494629	23.91328835351494	23.594900930005494	23.91328835351494	6700	2023/09/05 
2023/09/06 	23.52142906188965	23.668376390208547	23.348030728653818	23.668376390208547	3000	2023/09/06 
2023/09/07 	23.40583038330078	23.43326050167238	23.315701516839333	23.36468520574338	2300	2023/09/07 
