Price	Close	High	Low	Open	Volume	Date
Ticker	VEGN	VEGN	VEGN	VEGN	VEGN	
Date						
2019/09/10 	24.145126342773438	24.308789553813508	23.889040948851605	24.068108469122286	165900	2019/09/10 
2019/09/11 	24.209623336791992	24.222139220694825	24.068103505161833	24.222139220694825	69900	2019/09/11 
2019/09/12 	24.347293853759766	24.616855431910974	24.25679608252268	24.616855431910974	63200	2019/09/12 
2019/09/13 	24.295307159423828	24.54946628098459	24.278940657599772	24.54946628098459	33200	2019/09/13 
2019/09/16 	24.241397857666016	24.279905874322903	24.164379988101384	24.279905874322903	44400	2019/09/16 
2019/09/17 	24.35692024230957	24.35692024230957	24.154749052360838	24.212511987167534	16200	2019/09/17 
2019/09/18 	24.270275115966797	24.549466002890153	23.996862909696066	24.549466002890153	35500	2019/09/18 
2019/09/19 	24.337663650512695	24.453189503491608	24.308781269142806	24.453189503491608	17100	2019/09/19 
2019/09/20 	24.184593200683594	24.54946536762567	24.184593200683594	24.54946536762567	7000	2019/09/20 
2019/09/23 	24.170150756835938	24.453190392297206	24.068101141286697	24.2221368416909	10500	2019/09/23 
2019/09/24 	23.91214370727539	24.314563565102006	23.817797144394063	24.174005916166347	20400	2019/09/24 
2019/09/25 	24.092172622680664	24.106614734262152	23.798541449282997	24.039222498133455	15200	2019/09/25 
2019/09/26 	24.019001007080078	24.337663891726777	23.923692269240373	24.337663891726777	2300	2019/09/26 
2019/09/27 	23.806241989135742	24.09698470929727	23.78891145708102	24.09698470929727	4000	2019/09/27 
2019/09/30 	23.97760772705078	24.019968191790703	23.885185562618435	23.885185562618435	8300	2019/09/30 
2019/10/01 	23.666645050048828	24.087355716366005	23.666645050048828	24.058473334361835	4600	2019/10/01 
2019/10/02 	23.243051528930664	24.087361485614096	23.173734897268613	24.087361485614096	5900	2019/10/02 
2019/10/03 	23.415376663208008	23.490468292970426	23.0466520451422	23.490468292970426	6100	2019/10/03 
2019/10/04 	23.804317474365234	23.804317474365234	23.607921289874746	23.607921289874746	1300	2019/10/04 
2019/10/07 	23.74366569519043	23.87459587044363	23.702269262068285	23.798540207584953	2400	2019/10/07 
2019/10/08 	23.344131469726562	23.567483782258655	23.344131469726562	23.39130657772395	1200	2019/10/08 
2019/10/09 	23.601184844970703	23.65413497351656	23.50683827801669	23.538609089644527	4400	2019/10/09 
2019/10/10 	23.72248649597168	23.793727510149516	23.58674167103427	23.67338699141975	3100	2019/10/10 
2019/10/11 	24.011301040649414	24.186516057695087	23.962201540117196	24.019966306478786	7500	2019/10/11 
2019/10/14 	23.995901107788086	24.02478349623129	23.97183336887747	23.991088294506273	5600	2019/10/14 
2019/10/15 	24.323226928710938	24.360774583682794	24.106615447338676	24.106615447338676	2100	2019/10/15 
2019/10/16 	24.231765747070312	24.684245414450864	24.20288336292881	24.501329156972844	1900	2019/10/16 
2019/10/17 	24.288564682006836	24.742008347262335	24.26160852664136	24.742008347262335	3200	2019/10/17 
2019/10/18 	24.22599220275879	24.261613631093507	24.212514122240368	24.25102397300771	1200	2019/10/18 
2019/10/21 	24.39350128173828	24.39542750840328	24.279899814763272	24.279899814763272	6600	2019/10/21 
2019/10/22 	24.20384979248047	24.385803872723006	24.20384979248047	24.385803872723006	1500	2019/10/22 
2019/10/23 	24.218290328979492	24.218290328979492	24.12586815857369	24.12586815857369	2300	2019/10/23 
2019/10/24 	24.332855224609375	24.838285092204963	24.270277633763968	24.838285092204963	11900	2019/10/24 
2019/10/25 	24.53791618347168	24.561019890492855	24.433940320622607	24.520585648829663	2200	2019/10/25 
2019/10/28 	24.726608276367188	24.83828353396536	24.703502734062276	24.83828353396536	17700	2019/10/28 
2019/10/29 	24.64092445373535	25.512190488056955	24.491703382684854	25.09821880143178	5800	2019/10/29 
2019/10/30 	24.711200714111328	24.83828026192232	24.5590912365802	24.83828026192232	8100	2019/10/30 
2019/10/31 	24.624557495117188	24.624557495117188	24.549465863320247	24.549465863320247	3500	2019/10/31 
2019/11/01 	24.872943878173828	24.872943878173828	24.674621450872795	24.674621450872795	5800	2019/11/01 
2019/11/04 	24.987503051757812	25.03082570816427	24.979801817452355	25.001943325143152	10800	2019/11/04 
2019/11/05 	24.946107864379883	25.127099733324638	24.939368824964394	25.127099733324638	2400	2019/11/05 
2019/11/06 	24.966325759887695	24.966325759887695	24.861387711793352	24.953809875940557	4300	2019/11/06 
2019/11/07 	25.072223663330078	25.205080062559936	25.072223663330078	25.20411786727582	7600	2019/11/07 
2019/11/08 	25.142501831054688	26.32087702482527	25.06644800806151	25.088589516527676	1800	2019/11/08 
2019/11/11 	25.12709617614746	25.14635109639457	25.04526368322237	25.136723636271014	2400	2019/11/11 
2019/11/12 	25.18101692199707	25.30039526403252	25.18101692199707	25.30039526403252	4700	2019/11/12 
2019/11/13 	25.190641403198242	25.233000033421398	25.117474159402857	25.223374407462067	7000	2019/11/13 
2019/11/14 	25.205080032348633	25.232998385558904	25.11747251908488	25.232998385558904	5400	2019/11/14 
2019/11/15 	25.402441024780273	25.435174030283346	25.319646315640366	25.435174030283346	12700	2019/11/15 
2019/11/18 	25.4438419342041	25.475610911366413	25.35045755743013	25.43517666611388	5600	2019/11/18 
2019/11/19 	25.498716354370117	25.54107682666747	25.452505263909533	25.54107682666747	4300	2019/11/19 
2019/11/20 	25.354299545288086	25.772121773593163	25.296534783517586	25.772121773593163	5500	2019/11/20 
2019/11/21 	25.29365348815918	25.50256372787963	25.261882678915587	25.50256372787963	1400	2019/11/21 
2019/11/22 	25.3244571685791	25.444797678343306	25.253216159708835	25.444797678343306	8800	2019/11/22 
2019/11/25 	25.552621841430664	25.560323075695717	25.435169755761706	25.435169755761706	3300	2019/11/25 
2019/11/26 	25.619050979614258	25.627716245669202	25.589206400425663	25.627716245669202	4200	2019/11/26 
2019/11/27 	25.715328216552734	25.715328216552734	25.666228706226526	25.704738558149234	2200	2019/11/27 
2019/11/29 	25.626747131347656	25.772119381183213	25.626747131347656	25.772119381183213	7200	2019/11/29 
2019/12/02 	25.358156204223633	25.97429911991448	25.346602514616528	25.97429911991448	11200	2019/12/02 
2019/12/03 	25.184858322143555	25.184858322143555	25.01156771777671	25.175230862317598	3200	2019/12/03 
2019/12/04 	25.32638168334961	25.348525027685067	25.252252252151134	25.252252252151134	1100	2019/12/04 
2019/12/05 	25.387033462524414	25.435168929492935	25.329268698661757	25.435168929492935	2600	2019/12/05 
2019/12/06 	25.606534957885742	25.637341732163776	25.512188408299686	25.512188408299686	4600	2019/12/06 
2019/12/09 	25.54107666015625	25.723992957348106	25.54107666015625	25.723992957348106	3300	2019/12/09 
2019/12/10 	25.495824813842773	25.569954254109792	25.495824813842773	25.51219131622325	2500	2019/12/10 
2019/12/11 	25.584394454956055	25.584394454956055	25.541071795714103	25.56995234437504	600	2019/12/11 
2019/12/12 	25.799081802368164	25.829888578188747	25.569952619935776	25.714360873548348	8400	2019/12/12 
2019/12/13 	25.82796287536621	25.897279499556824	25.78175362882308	25.897279499556824	4900	2019/12/13 
2019/12/16 	26.0378360748291	26.123519197185782	26.0378360748291	26.07056907682495	3800	2019/12/16 
2019/12/17 	26.009920120239258	26.070571480927196	26.009920120239258	26.070571480927196	6100	2019/12/17 
2019/12/18 	26.027299880981445	26.070751206660713	25.99350461008692	26.00316066487166	4800	2019/12/18 
2019/12/19 	26.147998809814453	26.17696697528382	25.974193500406667	25.974193500406667	16700	2019/12/19 
2019/12/20 	26.31504249572754	26.316972601547878	26.254211011714446	26.254211011714446	5200	2019/12/20 
